net,length_um
net11,2108.4
net7,1864.44
net5,1771.8
net10,1661.955
net12,1533.685
net1,1346.635
net8,1231.415
net4,1211.485
net3,1162.81
net2,1052.165
net9,1028.81
net59,815.66
net27,791.6
net79,768.62
net33,754.765
net25,754.56
net42,743.94
net38,736.71
net66,708.98
net36,693.635
r_data[2],672.055
net56,670.665
data[3],653.275
net72,652.71
net55,639.475
net71,631.31
net24,624.435
net45,602.88
net32,602.665
net60,590.17
net69,572.915
net18,571.13
net54,558.185
net47,549.845
net26,548.98
net28,533.73
net70,496.61
net49,485.915
net35,481.925
net58,466.17
net80,459.16
net73,451.415
net21,432.845
clk,421.09
net22,413.495
wr,409.07
data[0],406.17
net37,403.16
net14,403.16
net30,402.695
net64,402.49
net19,402.49
net6,402.47
net57,402.15
net51,402.03
net61,401.81
net65,401.81
net67,401.81
net75,401.81
net17,401.81
data[2],401.635
enb,401.635
net39,401.32
net41,401.32
net44,401.32
net46,401.32
net74,401.32
net77,401.32
net16,401.32
net13,401.32
addr[1],401.23
net52,401.13
net20,400.89
net48,400.89
net23,400.855
net43,400.855
net62,400.855
net63,400.855
net68,400.855
net15,400.855
net34,400.45
r_data[3],400.45
net50,400.45
r_data[1],400.33
net29,400.21
r_data[0],400.175
net40,399.99
net53,399.87
net76,399.87
data[1],399.86
net31,399.495
net78,399.28
addr[0],398.575
mem\[2\]\[3\],337.775
_044_,329.635
_025_,325.61
mem\[3\]\[3\],304.89
_039_,296.915
_030_,280.415
_010_,271.24
mem\[1\]\[3\],251.95
_036_,247.83
mem\[2\]\[1\],247.285
mem\[1\]\[1\],246.31
mem\[1\]\[2\],238.3
_009_,237.98
mem\[3\]\[2\],235.87
_002_,229.155
mem\[3\]\[1\],227.215
_018_,227.1
mem\[0\]\[2\],225.84
mem\[0\]\[0\],211.205
_004_,207.275
_035_,205.695
_017_,197.975
mem\[0\]\[1\],195.23
mem\[2\]\[0\],194.425
mem\[0\]\[3\],193.235
_016_,188.715
mem\[2\]\[2\],188.1
_013_,188.04
mem\[3\]\[0\],185.435
_008_,181.645
_001_,181.085
mem\[1\]\[0\],178.13
_020_,171.405
_006_,158.705
_014_,148.695
_041_,140.61
_000_,139.405
_027_,138.715
_029_,137.835
_037_,122.44
_005_,114.78
_019_,112.905
_026_,111.595
_003_,106.505
_015_,91.09
clknet_1_1__leaf_clk,87.51
_042_,84.7
_043_,79.38
_048_,74.855
_045_,72.415
_038_,69.99
_021_,66.08
_012_,58.46
clknet_1_0__leaf_clk,43.695
_024_,37.18
_031_,36.235
_046_,31.795
_022_,29.32
_033_,26.38
_034_,25.475
clknet_0_clk,25
_040_,16.12
_007_,14.045
_011_,11.98
_023_,8.895
_028_,6.475
_032_,5.475
_047_,5.435
